制度B_加入者,,,出力期間：,1984年４月から2015年11月まで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加入者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年度,診療,総人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,年月,,被用者保険計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,国民健康保険計,,,,,,,,,,,,,,,,,,,,,,,,後期高齢者計,,,,,,,,,,,,
,,,,,,,,,,,,,協会一般計,,,,,,,,,,第３条第２項計,,,,,,,,,,船員保険計,,,,,,,,,,共済組合計,,,,,,,,,,健保組合計,,,,,,,,,,,市町村計,,,,,,,,,,,,,,,,国保組合計,,,,,,,,,,被用者保険計,,,国民健康保険計,,,,,,
,,,,70歳未満計,,,,,,70歳以上,,,,70歳未満計,,,,,,70歳以上,,,,70歳未満計,,,,,,70歳以上,,,,70歳未満計,,,,,,70歳以上,,,,70歳未満計,,,,,,70歳以上,,,,70歳未満計,,,,,,70歳以上,,,,,一般計,,,,,,,退職者計,,,,,,,,,,,,,,,,,,,,,,市町村計,,,国保組合計,,
,,,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,,70歳未満計,,,70歳以上,,,(2008年４月以降,70歳未満計,,,,70歳以上,,,,70歳未満計,,,70歳以上,,,,一般,現役並み,,一般,現役並み,,,一般,現役並み,,一般,現役並み
,,,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,,,,,75歳未満計,一般,現役並み,は65歳未満),,被保険者,家族,家族,75歳未満計,一般,現役並み,,,,,75歳未満計,一般,現役並み,,,所得者,,,所得者,,,,所得者,,,所得者
,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,,（再掲）,（再掲）,,,所得者,,,（70歳未満）,（未就学者を,（未就学者）,,,所得者,,,（再掲）,（再掲）,,,所得者,,,,,,,,,,,,,
,,,,,,70歳未満,,70歳未満,,,,,,,,70歳未満,,70歳未満,,,,,,,,70歳未満,,70歳未満,,,,,,,,70歳未満,,70歳未満,,,,,,,,70歳未満,,70歳未満,,,,,,,,70歳未満,,70歳未満,,,,,,,,,未就学者,65歳以上,,,,,,,除く70歳未満）,,,,,,,未就学者,65歳以上,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70歳未満,,,,,,,,,,,,,,,70歳未満,,,,,,,,,,,,,,,,
1984,198404,"119,869,156 ","71,922,000 ","71,922,000 ","33,338,000 ",,"38,584,000 ",,,,,,"30,889,470 ","30,889,470 ","15,229,128 ",,"15,660,342 ",,,,,,"359,854 ","359,854 ","215,324 ",,"144,530 ",,,,,,"602,375 ","602,375 ","200,772 ",,"401,603 ",,,,,,"12,012,641 ","12,012,641 ","5,261,482 ",,"6,751,159 ",,,,,,"28,055,653 ","28,055,653 ","12,429,503 ",,"15,626,150 ",,,,,,"39,872,295 ","36,645,263 ","36,645,263 ","36,645,263 ",,,,,,,,,,,,,,"3,227,032 ","3,227,032 ",,,,,,"7,723,290 ",,,,,,,,,,,,
,198405,"119,916,226 ","72,061,000 ","72,061,000 ","33,393,000 ",,"38,668,000 ",,,,,,"31,032,767 ","31,032,767 ","15,284,512 ",,"15,748,255 ",,,,,,"359,736 ","359,736 ","214,980 ",,"144,756 ",,,,,,"610,903 ","610,903 ","203,290 ",,"407,613 ",,,,,,"12,009,391 ","12,009,391 ","5,259,328 ",,"6,750,063 ",,,,,,"28,048,565 ","28,048,565 ","12,430,541 ",,"15,618,024 ",,,,,,"39,822,617 ","36,577,896 ","36,577,896 ","36,577,896 ",,,,,,,,,,,,,,"3,244,721 ","3,244,721 ",,,,,,"7,741,325 ",,,,,,,,,,,,
,198406,"120,020,500 ","72,166,000 ","72,166,000 ","33,413,000 ",,"38,753,000 ",,,,,,"31,111,542 ","31,111,542 ","15,308,334 ",,"15,803,208 ",,,,,,"358,402 ","358,402 ","213,753 ",,"144,649 ",,,,,,"599,315 ","599,315 ","199,479 ",,"399,836 ",,,,,,"12,005,933 ","12,005,933 ","5,257,169 ",,"6,748,764 ",,,,,,"28,091,505 ","28,091,505 ","12,434,372 ",,"15,657,133 ",,,,,,"39,799,943 ","36,537,001 ","36,537,001 ","36,537,001 ",,,,,,,,,,,,,,"3,262,942 ","3,262,942 ",,,,,,"7,762,983 ",,,,,,,,,,,,
,198407,"120,082,997 ","72,190,000 ","72,190,000 ","33,390,000 ",,"38,800,000 ",,,,,,"31,103,407 ","31,103,407 ","15,290,687 ",,"15,812,720 ",,,,,,"359,728 ","359,728 ","214,249 ",,"145,479 ",,,,,,"596,082 ","596,082 ","198,369 ",,"397,713 ",,,,,,"12,002,079 ","12,002,079 ","5,254,998 ",,"6,747,081 ",,,,,,"28,129,416 ","28,129,416 ","12,431,616 ",,"15,697,800 ",,,,,,"39,798,447 ","36,525,308 ","36,525,308 ","36,525,308 ",,,,,,,,,,,,,,"3,273,139 ","3,273,139 ",,,,,,"7,782,046 ",,,,,,,,,,,,
,198408,"120,104,139 ","72,087,000 ","72,087,000 ","33,295,000 ",,"38,792,000 ",,,,,,"31,028,169 ","31,028,169 ","15,241,120 ",,"15,787,049 ",,,,,,"358,138 ","358,138 ","212,875 ",,"145,263 ",,,,,,"599,344 ","599,344 ","199,244 ",,"400,100 ",,,,,,"11,998,600 ","11,998,600 ","5,252,838 ",,"6,745,762 ",,,,,,"28,102,879 ","28,102,879 ","12,388,652 ",,"15,714,227 ",,,,,,"39,810,653 ","36,534,021 ","36,534,021 ","36,534,021 ",,,,,,,,,,,,,,"3,276,632 ","3,276,632 ",,,,,,"7,801,873 ",,,,,,,,,,,,
,198409,"120,220,237 ","72,079,000 ","72,079,000 ","33,250,000 ",,"38,829,000 ",,,,,,"31,008,984 ","31,008,984 ","15,218,312 ",,"15,790,672 ",,,,,,"356,959 ","356,959 ","211,889 ",,"145,070 ",,,,,,"604,895 ","604,895 ","200,838 ",,"404,057 ",,,,,,"11,994,519 ","11,994,519 ","5,250,661 ",,"6,743,858 ",,,,,,"28,114,688 ","28,114,688 ","12,368,587 ",,"15,746,101 ",,,,,,"39,832,460 ","36,546,814 ","36,546,814 ","36,546,814 ",,,,,,,,,,,,,,"3,285,646 ","3,285,646 ",,,,,,"7,827,169 ",,,,,,,,,,,,
,198410,"120,305,146 ","72,128,000 ","72,128,000 ","33,238,000 ",,"38,890,000 ",,,,,,"31,034,291 ","31,034,291 ","15,216,692 ",,"15,817,599 ",,,,,,"354,608 ","354,608 ","211,564 ",,"143,044 ",,,,,,"600,278 ","600,278 ","199,231 ",,"401,047 ",,,,,,"11,990,376 ","11,990,376 ","5,248,483 ",,"6,741,893 ",,,,,,"28,147,908 ","28,147,908 ","12,361,564 ",,"15,786,344 ",,,,,,"39,835,492 ","36,543,761 ","34,046,135 ","34,046,135 ",,,,,,"2,497,626 ","2,497,626 ","1,677,130 ","820,496 ",,,,,"3,291,731 ","3,291,731 ",,,,,,"7,854,673 ",,,,,,,,,,,,
,198411,"120,371,477 ","72,239,000 ","72,239,000 ","33,254,000 ",,"38,985,000 ",,,,,,"31,111,762 ","31,111,762 ","15,232,532 ",,"15,879,230 ",,,,,,"347,064 ","347,064 ","208,273 ",,"138,791 ",,,,,,"585,973 ","585,973 ","194,579 ",,"391,394 ",,,,,,"11,986,049 ","11,986,049 ","5,246,299 ",,"6,739,750 ",,,,,,"28,207,614 ","28,207,614 ","12,372,073 ",,"15,835,541 ",,,,,,"39,802,405 ","36,496,318 ","33,958,551 ","33,958,551 ",,,,,,"2,537,767 ","2,537,767 ","1,696,813 ","840,954 ",,,,,"3,306,087 ","3,306,087 ",,,,,,"7,883,387 ",,,,,,,,,,,,
,198412,"120,440,532 ","72,187,000 ","72,187,000 ","33,186,000 ",,"39,001,000 ",,,,,,"31,069,119 ","31,069,119 ","15,198,683 ",,"15,870,436 ",,,,,,"338,593 ","338,593 ","204,242 ",,"134,351 ",,,,,,"568,068 ","568,068 ","188,802 ",,"379,266 ",,,,,,"11,981,559 ","11,981,559 ","5,244,111 ",,"6,737,448 ",,,,,,"28,230,368 ","28,230,368 ","12,351,424 ",,"15,878,944 ",,,,,,"39,770,959 ","36,472,313 ","33,887,891 ","33,887,891 ",,,,,,"2,584,422 ","2,584,422 ","1,722,686 ","861,736 ",,,,,"3,298,646 ","3,298,646 ",,,,,,"7,912,160 ",,,,,,,,,,,,
,198501,"120,429,385 ","71,997,000 ","71,997,000 ","33,045,000 ",,"38,952,000 ",,,,,,"30,921,384 ","30,921,384 ","15,115,117 ",,"15,806,267 ",,,,,,"329,092 ","329,092 ","199,678 ",,"129,414 ",,,,,,"567,228 ","567,228 ","188,451 ",,"378,777 ",,,,,,"11,977,987 ","11,977,987 ","5,241,948 ",,"6,736,039 ",,,,,,"28,201,871 ","28,201,871 ","12,299,588 ",,"15,902,283 ",,,,,,"39,819,884 ","36,530,892 ","33,908,165 ","33,908,165 ",,,,,,"2,622,727 ","2,622,727 ","1,744,530 ","878,197 ",,,,,"3,288,992 ","3,288,992 ",,,,,,"7,932,578 ",,,,,,,,,,,,
,198502,"120,557,445 ","71,971,000 ","71,971,000 ","32,994,000 ",,"38,977,000 ",,,,,,"30,913,435 ","30,913,435 ","15,097,860 ",,"15,815,575 ",,,,,,"320,435 ","320,435 ","195,434 ",,"125,001 ",,,,,,"566,510 ","566,510 ","188,079 ",,"378,431 ",,,,,,"11,972,944 ","11,972,944 ","5,239,744 ",,"6,733,200 ",,,,,,"28,198,175 ","28,198,175 ","12,274,488 ",,"15,923,687 ",,,,,,"39,816,246 ","36,520,396 ","33,877,215 ","33,877,215 ",,,,,,"2,643,181 ","2,643,181 ","1,753,263 ","889,918 ",,,,,"3,295,850 ","3,295,850 ",,,,,,"7,980,293 ",,,,,,,,,,,,
,198503,"120,566,119 ","72,125,000 ","72,125,000 ","33,089,000 ",,"39,036,000 ",,,,,,"30,991,308 ","30,991,308 ","15,119,967 ",,"15,871,341 ",,,,,,"313,600 ","313,600 ","192,323 ",,"121,277 ",,,,,,"570,663 ","570,663 ","189,227 ",,"381,436 ",,,,,,"11,968,940 ","11,968,940 ","5,237,570 ",,"6,731,370 ",,,,,,"28,280,168 ","28,280,168 ","12,349,589 ",,"15,930,579 ",,,,,,"39,707,467 ","36,408,032 ","33,738,499 ","33,738,499 ",,,,,,"2,669,533 ","2,669,533 ","1,766,871 ","902,662 ",,,,,"3,299,435 ","3,299,435 ",,,,,,"8,018,212 ",,,,,,,,,,,,
1985,198504,"120,628,074 ","72,673,000 ","72,673,000 ","33,727,000 ",,"38,946,000 ",,,,,,"31,268,860 ","31,268,860 ","15,397,519 ",,"15,871,341 ",,,,,,"304,800 ","304,800 ","183,523 ",,"121,277 ",,,,,,"571,889 ","571,889 ","190,453 ",,"381,436 ",,,,,,"11,965,015 ","11,965,015 ","5,235,002 ",,"6,730,013 ",,,,,,"28,561,542 ","28,561,542 ","12,719,762 ",,"15,841,780 ",,,,,,"39,803,804 ","36,509,791 ","33,729,031 ","33,729,031 ",,,,,,"2,780,760 ","2,780,760 ","1,834,547 ","946,213 ",,,,,"3,294,013 ","3,294,013 ",,,,,,"8,067,632 ",,,,,,,,,,,,
,198505,"120,678,068 ","72,808,000 ","72,808,000 ","33,771,000 ",,"39,037,000 ",,,,,,"31,419,200 ","31,419,200 ","15,451,849 ",,"15,967,351 ",,,,,,"284,691 ","284,691 ","173,252 ",,"111,439 ",,,,,,"584,585 ","584,585 ","194,310 ",,"390,275 ",,,,,,"11,958,354 ","11,958,354 ","5,231,373 ",,"6,726,981 ",,,,,,"28,560,646 ","28,560,646 ","12,719,866 ",,"15,840,780 ",,,,,,"39,755,345 ","36,452,979 ","33,641,983 ","33,641,983 ",,,,,,"2,810,996 ","2,810,996 ","1,854,178 ","956,818 ",,,,,"3,302,366 ","3,302,366 ",,,,,,"8,082,572 ",,,,,,,,,,,,
,198506,"120,781,368 ","72,885,000 ","72,885,000 ","33,775,000 ",,"39,110,000 ",,,,,,"31,499,021 ","31,499,021 ","15,472,475 ",,"16,026,546 ",,,,,,"275,533 ","275,533 ","169,568 ",,"105,965 ",,,,,,"576,820 ","576,820 ","191,776 ",,"385,044 ",,,,,,"11,950,788 ","11,950,788 ","5,227,721 ",,"6,723,067 ",,,,,,"28,583,039 ","28,583,039 ","12,714,401 ",,"15,868,638 ",,,,,,"39,737,234 ","36,423,525 ","33,591,639 ","33,591,639 ",,,,,,"2,831,886 ","2,831,886 ","1,867,636 ","964,250 ",,,,,"3,313,709 ","3,313,709 ",,,,,,"8,099,609 ",,,,,,,,,,,,
,198507,"120,837,064 ","72,894,000 ","72,894,000 ","33,739,000 ",,"39,155,000 ",,,,,,"31,497,571 ","31,497,571 ","15,454,403 ",,"16,043,168 ",,,,,,"267,226 ","267,226 ","166,452 ",,"100,774 ",,,,,,"574,108 ","574,108 ","190,835 ",,"383,273 ",,,,,,"11,943,322 ","11,943,322 ","5,224,072 ",,"6,719,250 ",,,,,,"28,613,522 ","28,613,522 ","12,704,309 ",,"15,909,213 ",,,,,,"39,749,950 ","36,431,419 ","33,572,324 ","33,572,324 ",,,,,,"2,859,095 ","2,859,095 ","1,884,495 ","974,600 ",,,,,"3,318,531 ","3,318,531 ",,,,,,"8,115,353 ",,,,,,,,,,,,
,198508,"120,844,150 ","72,780,000 ","72,780,000 ","33,637,000 ",,"39,143,000 ",,,,,,"31,413,156 ","31,413,156 ","15,396,965 ",,"16,016,191 ",,,,,,"261,465 ","261,465 ","164,867 ",,"96,598 ",,,,,,"575,899 ","575,899 ","191,251 ",,"384,648 ",,,,,,"11,936,352 ","11,936,352 ","5,220,434 ",,"6,715,918 ",,,,,,"28,593,248 ","28,593,248 ","12,663,086 ",,"15,930,162 ",,,,,,"39,766,508 ","36,446,461 ","33,574,958 ","33,574,958 ",,,,,,"2,871,503 ","2,871,503 ","1,892,536 ","978,967 ",,,,,"3,320,047 ","3,320,047 ",,,,,,"8,136,300 ",,,,,,,,,,,,
,198509,"120,955,681 ","72,743,000 ","72,743,000 ","33,581,000 ",,"39,162,000 ",,,,,,"31,384,122 ","31,384,122 ","15,365,936 ",,"16,018,186 ",,,,,,"256,331 ","256,331 ","163,636 ",,"92,695 ",,,,,,"579,568 ","579,568 ","192,317 ",,"387,251 ",,,,,,"11,929,338 ","11,929,338 ","5,216,796 ",,"6,712,542 ",,,,,,"28,594,262 ","28,594,262 ","12,641,840 ",,"15,952,422 ",,,,,,"39,795,059 ","36,464,917 ","33,582,498 ","33,582,498 ",,,,,,"2,882,419 ","2,882,419 ","1,899,884 ","982,535 ",,,,,"3,330,142 ","3,330,142 ",,,,,,"8,162,557 ",,,,,,,,,,,,
,198510,"121,048,923 ","72,784,000 ","72,784,000 ","33,558,000 ",,"39,226,000 ",,,,,,"31,408,022 ","31,408,022 ","15,360,063 ",,"16,047,959 ",,,,,,"252,953 ","252,953 ","162,006 ",,"90,947 ",,,,,,"573,227 ","573,227 ","190,176 ",,"383,051 ",,,,,,"11,921,751 ","11,921,751 ","5,213,144 ",,"6,708,607 ",,,,,,"28,627,659 ","28,627,659 ","12,633,116 ",,"15,994,543 ",,,,,,"39,793,991 ","36,457,669 ","33,550,432 ","33,550,432 ",,,,,,"2,907,237 ","2,907,237 ","1,917,219 ","990,018 ",,,,,"3,336,322 ","3,336,322 ",,,,,,"8,189,440 ",,,,,,,,,,,,
,198511,"121,113,270 ","72,837,000 ","72,837,000 ","33,561,000 ",,"39,276,000 ",,,,,,"31,369,795 ","31,369,795 ","15,324,797 ",,"16,044,998 ",,,,,,"249,122 ","249,122 ","159,942 ",,"89,180 ",,,,,,"557,717 ","557,717 ","185,216 ",,"372,501 ",,,,,,"11,913,943 ","11,913,943 ","5,209,485 ",,"6,704,458 ",,,,,,"28,746,553 ","28,746,553 ","12,681,774 ",,"16,064,779 ",,,,,,"39,763,513 ","36,412,286 ","33,489,746 ","33,489,746 ",,,,,,"2,922,540 ","2,922,540 ","1,928,338 ","994,202 ",,,,,"3,351,227 ","3,351,227 ",,,,,,"8,217,375 ",,,,,,,,,,,,
,198512,"121,170,618 ","72,762,000 ","72,762,000 ","33,482,000 ",,"39,280,000 ",,,,,,"31,285,746 ","31,285,746 ","15,267,950 ",,"16,017,796 ",,,,,,"246,830 ","246,830 ","158,860 ",,"87,970 ",,,,,,"544,969 ","544,969 ","181,127 ",,"363,842 ",,,,,,"11,906,128 ","11,906,128 ","5,205,827 ",,"6,700,301 ",,,,,,"28,778,135 ","28,778,135 ","12,668,014 ",,"16,110,121 ",,,,,,"39,744,143 ","36,406,191 ","33,471,423 ","33,471,423 ",,,,,,"2,934,768 ","2,934,768 ","1,936,671 ","998,097 ",,,,,"3,337,952 ","3,337,952 ",,,,,,"8,239,937 ",,,,,,,,,,,,
,198601,"121,125,620 ","72,568,000 ","72,568,000 ","33,334,000 ",,"39,234,000 ",,,,,,"31,125,953 ","31,125,953 ","15,175,468 ",,"15,950,485 ",,,,,,"244,831 ","244,831 ","157,962 ",,"86,869 ",,,,,,"543,232 ","543,232 ","180,441 ",,"362,791 ",,,,,,"11,899,105 ","11,899,105 ","5,202,189 ",,"6,696,916 ",,,,,,"28,754,983 ","28,754,983 ","12,618,483 ",,"16,136,500 ",,,,,,"39,799,405 ","36,467,190 ","33,520,267 ","33,520,267 ",,,,,,"2,946,923 ","2,946,923 ","1,944,637 ","1,002,286 ",,,,,"3,332,215 ","3,332,215 ",,,,,,"8,253,729 ",,,,,,,,,,,,
,198602,"121,248,863 ","72,519,000 ","72,519,000 ","33,270,000 ",,"39,249,000 ",,,,,,"31,084,147 ","31,084,147 ","15,138,851 ",,"15,945,296 ",,,,,,"243,646 ","243,646 ","157,586 ",,"86,060 ",,,,,,"543,721 ","543,721 ","180,510 ",,"363,211 ",,,,,,"11,890,296 ","11,890,296 ","5,198,504 ",,"6,691,792 ",,,,,,"28,757,163 ","28,757,163 ","12,594,254 ",,"16,162,909 ",,,,,,"39,794,937 ","36,456,515 ","33,505,823 ","33,505,823 ",,,,,,"2,950,692 ","2,950,692 ","1,947,886 ","1,002,806 ",,,,,"3,338,422 ","3,338,422 ",,,,,,"8,299,896 ",,,,,,,,,,,,
,198603,"121,236,875 ","72,672,000 ","72,672,000 ","33,364,000 ",,"39,308,000 ",,,,,,"31,172,710 ","31,172,710 ","15,163,737 ",,"16,008,973 ",,,,,,"243,328 ","243,328 ","157,731 ",,"85,597 ",,,,,,"541,560 ","541,560 ","179,669 ",,"361,891 ",,,,,,"11,882,587 ","11,882,587 ","5,194,848 ",,"6,687,739 ",,,,,,"28,831,697 ","28,831,697 ","12,668,188 ",,"16,163,509 ",,,,,,"39,690,868 ","36,349,050 ","33,382,116 ","33,382,116 ",,,,,,"2,966,934 ","2,966,934 ","1,959,078 ","1,007,856 ",,,,,"3,341,818 ","3,341,818 ",,,,,,"8,339,363 ",,,,,,,,,,,,
1986,198604,"121,316,688 ","73,267,000 ","73,267,000 ","34,050,000 ",,"39,217,000 ",,,,,,"31,437,779 ","31,437,779 ","15,428,806 ",,"16,008,973 ",,,,,,"241,749 ","241,749 ","156,152 ",,"85,597 ",,,,,,"543,641 ","543,641 ","181,750 ",,"361,891 ",,,,,,"11,878,838 ","11,878,838 ","5,191,774 ",,"6,687,064 ",,,,,,"29,164,821 ","29,164,821 ","13,091,399 ",,"16,073,422 ",,,,,,"39,796,222 ","36,450,167 ","33,362,614 ","33,362,614 ",,,,,,"3,087,553 ","3,087,553 ","2,036,358 ","1,051,195 ",,,,,"3,346,055 ","3,346,055 ",,,,,,"8,389,421 ",,,,,,,,,,,,
,198605,"121,356,074 ","73,381,000 ","73,381,000 ","34,103,000 ",,"39,278,000 ",,,,,,"31,559,145 ","31,559,145 ","15,482,619 ",,"16,076,526 ",,,,,,"241,493 ","241,493 ","156,894 ",,"84,599 ",,,,,,"557,515 ","557,515 ","186,545 ",,"370,970 ",,,,,,"11,871,115 ","11,871,115 ","5,187,805 ",,"6,683,310 ",,,,,,"29,151,692 ","29,151,692 ","13,089,618 ",,"16,062,074 ",,,,,,"39,724,164 ","36,367,352 ","33,254,325 ","33,254,325 ",,,,,,"3,113,027 ","3,113,027 ","2,055,269 ","1,057,758 ",,,,,"3,356,812 ","3,356,812 ",,,,,,"8,405,224 ",,,,,,,,,,,,
,198606,"121,440,024 ","73,435,000 ","73,435,000 ","34,116,000 ",,"39,319,000 ",,,,,,"31,615,275 ","31,615,275 ","15,504,401 ",,"16,110,874 ",,,,,,"240,673 ","240,673 ","156,802 ",,"83,871 ",,,,,,"546,746 ","546,746 ","183,095 ",,"363,651 ",,,,,,"11,862,733 ","11,862,733 ","5,183,820 ",,"6,678,913 ",,,,,,"29,170,090 ","29,170,090 ","13,087,847 ",,"16,082,243 ",,,,,,"39,695,956 ","36,326,535 ","33,197,092 ","33,197,092 ",,,,,,"3,129,443 ","3,129,443 ","2,067,160 ","1,062,283 ",,,,,"3,369,421 ","3,369,421 ",,,,,,"8,424,237 ",,,,,,,,,,,,
,198607,"121,491,913 ","73,397,000 ","73,397,000 ","34,074,000 ",,"39,323,000 ",,,,,,"31,544,901 ","31,544,901 ","15,464,155 ",,"16,080,746 ",,,,,,"238,982 ","238,982 ","156,187 ",,"82,795 ",,,,,,"536,737 ","536,737 ","179,894 ",,"356,843 ",,,,,,"11,854,634 ","11,854,634 ","5,179,842 ",,"6,674,792 ",,,,,,"29,221,905 ","29,221,905 ","13,093,988 ",,"16,127,917 ",,,,,,"39,692,322 ","36,314,078 ","33,164,080 ","33,164,080 ",,,,,,"3,149,998 ","3,149,998 ","2,081,015 ","1,068,983 ",,,,,"3,378,244 ","3,378,244 ",,,,,,"8,442,557 ",,,,,,,,,,,,
,198608,"121,478,158 ","73,247,000 ","73,247,000 ","33,960,000 ",,"39,287,000 ",,,,,,"31,438,020 ","31,438,020 ","15,406,050 ",,"16,031,970 ",,,,,,"233,099 ","233,099 ","151,532 ",,"81,567 ",,,,,,"543,166 ","543,166 ","182,202 ",,"360,964 ",,,,,,"11,846,610 ","11,846,610 ","5,175,865 ",,"6,670,745 ",,,,,,"29,186,247 ","29,186,247 ","13,043,756 ",,"16,142,491 ",,,,,,"39,713,423 ","36,330,844 ","33,171,089 ","33,171,089 ",,,,,,"3,159,755 ","3,159,755 ","2,088,019 ","1,071,736 ",,,,,"3,382,579 ","3,382,579 ",,,,,,"8,466,092 ",,,,,,,,,,,,
,198609,"121,588,458 ","73,198,000 ","73,198,000 ","33,909,000 ",,"39,289,000 ",,,,,,"31,397,595 ","31,397,595 ","15,380,545 ",,"16,017,050 ",,,,,,"224,881 ","224,881 ","150,033 ",,"74,848 ",,,,,,"544,798 ","544,798 ","182,903 ",,"361,895 ",,,,,,"11,838,386 ","11,838,386 ","5,171,884 ",,"6,666,502 ",,,,,,"29,191,999 ","29,191,999 ","13,023,070 ",,"16,168,929 ",,,,,,"39,741,790 ","36,344,590 ","33,177,151 ","33,177,151 ",,,,,,"3,167,439 ","3,167,439 ","2,093,790 ","1,073,649 ",,,,,"3,397,200 ","3,397,200 ",,,,,,"8,492,956 ",,,,,,,,,,,,
,198610,"121,672,326 ","73,179,000 ","73,179,000 ","33,869,000 ",,"39,310,000 ",,,,,,"31,381,443 ","31,381,443 ","15,366,947 ",,"16,014,496 ",,,,,,"218,839 ","218,839 ","145,773 ",,"73,066 ",,,,,,"540,119 ","540,119 ","181,485 ",,"358,634 ",,,,,,"11,830,002 ","11,830,002 ","5,167,899 ",,"6,662,103 ",,,,,,"29,208,309 ","29,208,309 ","13,006,502 ",,"16,201,807 ",,,,,,"39,739,902 ","36,330,342 ","33,147,326 ","33,147,326 ",,,,,,"3,183,016 ","3,183,016 ","2,105,188 ","1,077,828 ",,,,,"3,409,560 ","3,409,560 ",,,,,,"8,518,808 ",,,,,,,,,,,,
,198611,"121,718,166 ","73,199,000 ","73,199,000 ","33,855,000 ",,"39,344,000 ",,,,,,"31,343,712 ","31,343,712 ","15,342,799 ",,"16,000,913 ",,,,,,"213,632 ","213,632 ","142,082 ",,"71,550 ",,,,,,"528,499 ","528,499 ","177,730 ",,"350,769 ",,,,,,"11,821,577 ","11,821,577 ","5,163,914 ",,"6,657,663 ",,,,,,"29,290,417 ","29,290,417 ","13,027,532 ",,"16,262,885 ",,,,,,"39,716,326 ","36,288,680 ","33,090,612 ","33,090,612 ",,,,,,"3,198,068 ","3,198,068 ","2,116,508 ","1,081,560 ",,,,,"3,427,646 ","3,427,646 ",,,,,,"8,545,741 ",,,,,,,,,,,,
,198612,"121,786,097 ","73,092,000 ","73,092,000 ","33,772,000 ",,"39,320,000 ",,,,,,"31,270,794 ","31,270,794 ","15,301,453 ",,"15,969,341 ",,,,,,"211,003 ","211,003 ","140,114 ",,"70,889 ",,,,,,"514,193 ","514,193 ","173,064 ",,"341,129 ",,,,,,"11,812,853 ","11,812,853 ","5,159,920 ",,"6,652,933 ",,,,,,"29,284,597 ","29,284,597 ","12,998,477 ",,"16,286,120 ",,,,,,"39,697,871 ","36,272,252 ","33,061,405 ","33,061,405 ",,,,,,"3,210,847 ","3,210,847 ","2,125,478 ","1,085,369 ",,,,,"3,425,619 ","3,425,619 ",,,,,,"8,570,856 ",,,,,,,,,,,,
,198701,"121,735,136 ","72,870,000 ","72,870,000 ","33,636,000 ",,"39,234,000 ",,,,,,"31,130,524 ","31,130,524 ","15,227,195 ",,"15,903,329 ",,,,,,"209,616 ","209,616 ","139,049 ",,"70,567 ",,,,,,"513,399 ","513,399 ","172,943 ",,"340,456 ",,,,,,"11,804,983 ","11,804,983 ","5,155,947 ",,"6,649,036 ",,,,,,"29,212,446 ","29,212,446 ","12,941,306 ",,"16,271,140 ",,,,,,"39,758,948 ","36,340,167 ","33,118,409 ","33,118,409 ",,,,,,"3,221,758 ","3,221,758 ","2,132,954 ","1,088,804 ",,,,,"3,418,781 ","3,418,781 ",,,,,,"8,585,751 ",,,,,,,,,,,,
